aliquot	feature_1	feature_2	project	center
TCGA-09-1670-01A-01R-1566-13	9.4928488957603	48.9308196770786	OV	BCCAGSC
TCGA-09-1673-01A-01R-1566-13	9.81882271544997	46.2025633577467	OV	BCCAGSC
TCGA-09-1674-01A-01R-1566-13	0.944822192293289	48.0259407720466	OV	BCCAGSC
TCGA-09-2044-01B-01R-1568-13	14.175275645067	48.8347255855094	OV	BCCAGSC
TCGA-09-2045-01A-01R-1568-13	4.86488137490111	51.8799765290807	OV	BCCAGSC
TCGA-09-2048-01A-01R-1568-13	9.14623807524699	52.6759729750646	OV	BCCAGSC
TCGA-09-2050-01A-01R-1568-13	12.9847296747656	48.6379831550131	OV	BCCAGSC
TCGA-09-2051-01A-01R-1568-13	12.7066082462311	48.8288328143181	OV	BCCAGSC
TCGA-09-2053-01C-01R-1568-13	10.9671172210616	50.9779086147765	OV	BCCAGSC
TCGA-09-2054-01A-01R-1568-13	13.1247562182078	49.7650164278355	OV	BCCAGSC
TCGA-09-2056-01B-01R-1568-13	4.32634775167949	51.6946599266498	OV	BCCAGSC
TCGA-10-0926-01A-01R-1564-13	-7.1356872764908	52.9048812033865	OV	BCCAGSC
TCGA-10-0927-01A-02R-1564-13	-5.62389021285518	52.3762923921902	OV	BCCAGSC
TCGA-10-0928-01A-02R-1564-13	0.532103408986557	51.4414322906585	OV	BCCAGSC
TCGA-10-0930-01A-02R-1564-13	-2.90235534471987	51.2090921135629	OV	BCCAGSC
TCGA-10-0931-01A-01R-1564-13	-7.91067698266341	53.030956737575	OV	BCCAGSC
TCGA-10-0933-01A-01R-1569-13	9.07782878069768	52.0985637420875	OV	BCCAGSC
TCGA-10-0934-01A-02R-1564-13	-7.35414316682817	52.9535762291686	OV	BCCAGSC
TCGA-10-0936-01A-01R-1564-13	8.23346636838827	50.8676519219992	OV	BCCAGSC
TCGA-10-0937-01A-02R-1564-13	-7.97265312159402	53.1176003986875	OV	BCCAGSC
TCGA-10-0938-01A-02R-1564-13	5.40441750652182	52.6805539860686	OV	BCCAGSC
TCGA-13-0714-01A-01R-1564-13	-5.32711904193528	52.7701920372674	OV	BCCAGSC
TCGA-13-0720-01A-01R-1564-13	3.9206870449804	49.7955708350556	OV	BCCAGSC
TCGA-13-0723-01A-02R-1564-13	-7.34523629824131	52.3257278814521	OV	BCCAGSC
TCGA-13-0724-01A-01R-1564-13	-6.30112807159296	52.245300254694	OV	BCCAGSC
TCGA-13-0725-01A-01R-1986-13	-3.76872629502456	51.0896523430369	OV	BCCAGSC
TCGA-13-0726-01A-01R-1564-13	-4.05695782452705	51.0709659405191	OV	BCCAGSC
TCGA-13-0727-01A-01R-1564-13	4.54027814527586	49.9669939916941	OV	BCCAGSC
TCGA-13-0730-01A-01R-1564-13	-8.00065321373545	53.1091143392067	OV	BCCAGSC
TCGA-13-0751-01A-01R-1564-13	-5.48854373687877	52.3154898215037	OV	BCCAGSC
TCGA-13-0755-01A-01R-1564-13	1.28155351887085	50.9548839913847	OV	BCCAGSC
TCGA-13-0757-01A-01R-1564-13	-7.51469362899883	52.8821182330588	OV	BCCAGSC
TCGA-13-0760-01A-01R-1564-13	-6.68817077894983	52.6108803950008	OV	BCCAGSC
TCGA-13-0761-01A-01R-1564-13	-2.61316481995549	51.3180693149156	OV	BCCAGSC
TCGA-13-0762-01A-01R-1564-13	0.840540591284681	49.2834358134119	OV	BCCAGSC
TCGA-13-0765-01A-01R-1564-13	-2.26450670798508	51.4218017761598	OV	BCCAGSC
TCGA-13-0766-01A-02R-1564-13	-2.84523869567784	52.7202280801096	OV	BCCAGSC
TCGA-13-0768-01A-01R-1569-13	1.67290604987164	47.7541937616918	OV	BCCAGSC
TCGA-13-0791-01A-01R-1564-13	2.09358671206779	49.3708122626657	OV	BCCAGSC
TCGA-13-0792-01A-01R-1564-13	-1.91061736241201	52.1150343735838	OV	BCCAGSC
TCGA-13-0793-01A-01R-1564-13	-7.9366701794957	53.016224949024	OV	BCCAGSC
TCGA-13-0794-01A-01R-1564-13	-3.51640054876046	51.4679401332537	OV	BCCAGSC
TCGA-13-0795-01A-01R-1564-13	7.34690219051861	48.5984136527757	OV	BCCAGSC
TCGA-13-0797-01A-01R-1564-13	-7.18264481399732	52.2120849261307	OV	BCCAGSC
TCGA-13-0799-01A-01R-1564-13	-4.13971188674861	51.8806522621803	OV	BCCAGSC
TCGA-13-0800-01A-01R-1564-13	4.93590297536044	53.5838807221981	OV	BCCAGSC
TCGA-13-0801-01A-01R-1564-13	-4.17986344007563	51.4886834545398	OV	BCCAGSC
TCGA-13-0802-01A-01R-1564-13	-2.54667508854733	52.5762308886799	OV	BCCAGSC
TCGA-13-0803-01A-01R-1564-13	-7.28726718960626	52.8540875534898	OV	BCCAGSC
TCGA-13-0804-01A-01R-1564-13	-7.41801797339323	52.4912617266288	OV	BCCAGSC
TCGA-13-0805-01A-01R-1564-13	-6.88878330936318	52.6258843293467	OV	BCCAGSC
TCGA-13-0883-01A-02R-1569-13	4.49002028729235	49.9000549734514	OV	BCCAGSC
TCGA-13-0884-01B-01R-1565-13	4.58636037717105	49.1429612724452	OV	BCCAGSC
TCGA-13-0885-01A-02R-1569-13	-2.58421747377958	50.5013149512717	OV	BCCAGSC
TCGA-13-0886-01A-01R-1569-13	-6.04179845650748	51.4037694010138	OV	BCCAGSC
TCGA-13-0887-01A-01R-1564-13	-4.93541598770575	52.2626032083595	OV	BCCAGSC
TCGA-13-0888-01A-01R-1564-13	-5.53419065356659	51.3488885118274	OV	BCCAGSC
TCGA-13-0889-01A-01R-1564-13	-6.01092708282526	52.3308338343178	OV	BCCAGSC
TCGA-13-0890-01A-01R-1564-13	-6.13158587284934	52.2243270760837	OV	BCCAGSC
TCGA-13-0891-01A-01R-1564-13	-4.79708510646805	52.3823120806743	OV	BCCAGSC
TCGA-13-0893-01B-01R-1565-13	8.4973657529353	46.6366793750396	OV	BCCAGSC
TCGA-13-0894-01B-01R-1565-13	7.6674462906581	46.0987257031998	OV	BCCAGSC
TCGA-13-0897-01A-01R-1564-13	-7.97651414067655	53.0782124597226	OV	BCCAGSC
TCGA-13-0899-01A-01R-1564-13	-3.53944306434382	51.3267847456927	OV	BCCAGSC
TCGA-13-0900-01B-01R-1565-13	6.80014693023689	45.8531878347411	OV	BCCAGSC
TCGA-13-0901-01B-01R-1565-13	11.7510729273486	48.8124158648779	OV	BCCAGSC
TCGA-13-0903-01A-01R-1564-13	-7.46922845001485	52.5289925820385	OV	BCCAGSC
TCGA-13-0904-01A-02R-1564-13	-3.89575563937497	52.2041158190515	OV	BCCAGSC
TCGA-13-0905-01B-01R-1565-13	9.28026962440175	45.2619324091438	OV	BCCAGSC
TCGA-13-0906-01A-01R-1564-13	-2.15702479835339	50.8336094668092	OV	BCCAGSC
TCGA-13-0908-01B-01R-1565-13	6.4930421329932	46.4628362983056	OV	BCCAGSC
TCGA-13-0910-01A-01R-1564-13	-4.33167618038592	51.421286257547	OV	BCCAGSC
TCGA-13-0911-01A-01R-1564-13	-0.498815920905106	49.7544888103166	OV	BCCAGSC
TCGA-13-0912-01A-01R-1564-13	-2.15410787877315	52.4856322773501	OV	BCCAGSC
TCGA-13-0913-01A-01R-1564-13	-4.42719344820117	52.4138507522261	OV	BCCAGSC
TCGA-13-0916-01A-01R-1564-13	-0.52456056006332	50.2385716817842	OV	BCCAGSC
TCGA-13-0919-01A-01R-1564-13	-3.73930300868484	50.8709505666036	OV	BCCAGSC
TCGA-13-0920-01A-01R-1564-13	9.27948213444479	51.7311489511346	OV	BCCAGSC
TCGA-13-0921-01A-01R-1564-13	-6.60382395745375	52.8425333450781	OV	BCCAGSC
TCGA-13-0923-01A-01R-1564-13	-6.68414216965235	52.496829910729	OV	BCCAGSC
TCGA-13-0924-01A-01R-1564-13	-7.45889148364142	52.4481749138832	OV	BCCAGSC
TCGA-13-1403-01A-01R-1565-13	-1.12214846801496	49.6086449555226	OV	BCCAGSC
TCGA-13-1404-01A-01R-1565-13	8.74014217567041	46.6679688055711	OV	BCCAGSC
TCGA-13-1405-01A-01R-1565-13	1.35220482669347	49.6935688839048	OV	BCCAGSC
TCGA-13-1407-01A-01R-1565-13	13.2150239706705	47.857368211548	OV	BCCAGSC
TCGA-13-1408-01A-01R-1565-13	8.15005600352511	47.4857368318	OV	BCCAGSC
TCGA-13-1409-01A-01R-1565-13	12.8717683635261	46.0054349888442	OV	BCCAGSC
TCGA-13-1410-01A-01R-1565-13	4.24787853544027	47.4205922871647	OV	BCCAGSC
