patient	feature_1	feature_2	project
TCGA-12-0656	-12.4077006391705	-32.5341862064693	GBM
TCGA-12-0657	-16.4784161662795	-27.9078793940213	GBM
TCGA-12-0662	-9.50623465133088	-26.4086265386603	GBM
TCGA-12-0670	-18.852986385646	-26.5334121278074	GBM
TCGA-12-0688	-16.5257539294085	-30.6088725917504	GBM
TCGA-12-0691	-7.58616259514218	-31.4746278964288	GBM
TCGA-12-0692	-10.3610946708775	-27.6533653567145	GBM
TCGA-12-0703	-16.2028842841224	-30.0487678211699	GBM
TCGA-12-0707	-12.0923460094653	-30.2618077425335	GBM
TCGA-12-0769	-17.8732390231098	-28.8195337775264	GBM
TCGA-12-0772	-18.0263515788951	-26.0278839733626	GBM
TCGA-12-0773	-7.87964277820037	-14.4279157771113	GBM
TCGA-12-0775	-13.7299168519235	-24.6650952262937	GBM
TCGA-12-0776	-14.7209182648361	-25.6141602296657	GBM
TCGA-12-0778	-13.8291812849077	-30.7372694399394	GBM
TCGA-12-0780	-13.8572164242802	-32.9482417047248	GBM
TCGA-12-0818	-9.38244495770116	-17.0505915174957	GBM
TCGA-12-0819	-18.6329545651171	-30.2999397803507	GBM
TCGA-12-0820	-15.9073396728543	-30.7490269451356	GBM
TCGA-12-0821	-11.4272116496533	-30.1843285980716	GBM
TCGA-12-0822	-13.3776398152395	-24.7849246162926	GBM
TCGA-12-0826	-17.6420786913398	-28.9569744351554	GBM
TCGA-12-0827	-2.60044259410257	8.65443203604804	GBM
TCGA-12-0828	-16.5430350272176	-27.2480268148737	GBM
TCGA-12-0829	-13.9033661091629	-25.4831224234536	GBM
TCGA-12-1088	-11.1723346658139	-25.8298903615409	GBM
TCGA-12-1089	-9.6216622976486	-28.7265336895715	GBM
TCGA-12-1090	-6.52328451689288	-21.9269042195197	GBM
TCGA-12-1091	-8.3662260623772	-27.0720985616488	GBM
TCGA-12-1092	-9.97987778269047	-26.1617056060617	GBM
