aliquot	feature_1	feature_2	disease	center
TCGA-06-0238-01A-02R-1849-01	-24.5709897939492	-39.3318520165338	GBM	BI
TCGA-06-0644-01A-02R-1849-01	-21.477699031039	-37.6609011691456	GBM	BI
TCGA-06-0645-01A-01R-1849-01	-21.5927896063482	-36.9436076370775	GBM	BI
TCGA-06-0646-01A-01R-1849-01	-22.4841044349447	-34.3414552967178	GBM	BI
TCGA-06-0649-01B-01R-1849-01	-21.2351524366096	-35.9292316907725	GBM	BI
TCGA-06-0686-01A-01R-1849-01	-17.7726485516415	-32.4500183917083	GBM	BI
TCGA-06-0743-01A-01R-1849-01	-22.6110610057657	-33.6868171122164	GBM	BI
TCGA-06-0744-01A-01R-1849-01	-22.7383230813311	-33.8080198127236	GBM	BI
TCGA-06-0745-01A-01R-1849-01	-24.6321228658066	-39.3091374235907	GBM	BI
TCGA-06-0747-01A-01R-1849-01	-23.1557351890894	-34.2185082180658	GBM	BI
TCGA-06-0749-01A-01R-1849-01	-20.4350713853128	-36.0364975463718	GBM	BI
TCGA-06-0750-01A-01R-1849-01	-23.7489199409276	-37.9579432138316	GBM	BI
TCGA-06-0878-01A-01R-1849-01	-17.5813514504308	-32.3347090308898	GBM	BI
TCGA-06-0882-01A-01R-1849-01	-21.474246893455	-35.5736972246106	GBM	BI
TCGA-06-1804-01A-01R-1849-01	-22.8581150421401	-33.8194836360948	GBM	BI
TCGA-06-2557-01A-01R-1849-01	-24.5890737358936	-36.7541435132386	GBM	BI
TCGA-06-2558-01A-01R-1849-01	-21.5599699038901	-34.5010724267395	GBM	BI
TCGA-06-2559-01A-01R-1849-01	-21.9180105990152	-33.908602537649	GBM	BI
TCGA-06-2561-01A-02R-1849-01	-21.5230401547075	-35.3758461685161	GBM	BI
TCGA-06-2562-01A-01R-1849-01	-22.3237355300782	-35.0720589131849	GBM	BI
TCGA-06-2563-01A-01R-1849-01	-22.4677322949099	-35.2380282093161	GBM	BI
TCGA-06-2564-01A-01R-1849-01	-22.8467858954753	-34.7541005137512	GBM	BI
TCGA-06-2565-01A-01R-1849-01	-23.1287492331758	-33.9649664759741	GBM	BI
TCGA-06-2567-01A-01R-1849-01	-22.5294167632666	-34.4095346948496	GBM	BI
TCGA-06-2569-01A-01R-1849-01	18.658739524342	-11.2526190761557	GBM	BI
TCGA-06-2570-01A-01R-1849-01	-23.0132023222538	-33.775635781227	GBM	BI
TCGA-06-5408-01A-01R-1849-01	-22.7356572503751	-36.1413869226834	GBM	BI
TCGA-06-5410-01A-01R-1849-01	-24.0893722973756	-38.3755668112165	GBM	BI
TCGA-06-5411-01A-01R-1849-01	-19.9649273500612	-36.0940043716922	GBM	BI
TCGA-06-5412-01A-01R-1849-01	-22.0103424139955	-37.4218323903806	GBM	BI
TCGA-06-5413-01A-01R-1849-01	-22.3165163345465	-36.7141634620979	GBM	BI
TCGA-06-5414-01A-01R-1849-01	-24.1516181960528	-37.3385308930371	GBM	BI
TCGA-06-5416-01A-01R-1849-01	-20.1293390722488	-33.7189163475142	GBM	BI
TCGA-06-5417-01A-01R-1849-01	-16.5102251631051	-31.6699485861187	GBM	BI
TCGA-06-5418-01A-01R-1849-01	-23.9093572437328	-37.4429137036381	GBM	BI
TCGA-06-5856-01A-01R-1849-01	-21.9570040045183	-34.8793954301414	GBM	BI
TCGA-06-5858-01A-01R-1849-01	-22.548451800376	-35.3517427102184	GBM	BI
TCGA-06-5859-01A-01R-1849-01	-22.2849215951243	-36.3050770639629	GBM	BI
TCGA-08-0386-01A-01R-1849-01	-22.4844870686764	-34.3971468419901	GBM	BI
TCGA-09-0364-01A-02R-1564-13	52.054647047157	4.86487443347807	OV	BCCAGSC
TCGA-09-0366-01A-01R-1564-13	56.7247883007605	-0.355750744171063	OV	BCCAGSC
TCGA-09-0367-01A-01R-1564-13	53.6956245410794	-3.9066655756921	OV	BCCAGSC
TCGA-09-0369-01A-01R-1564-13	57.0979117297778	2.37122342014832	OV	BCCAGSC
TCGA-09-1659-01B-01R-1564-13	55.0489772163231	-4.41531896411262	OV	BCCAGSC
TCGA-09-1661-01B-01R-1566-13	51.2027174875966	-5.47867969740822	OV	BCCAGSC
TCGA-09-1662-01A-01R-1566-13	57.6924227333365	-0.619117984349659	OV	BCCAGSC
TCGA-09-1665-01B-01R-1566-13	54.1568867154925	-6.15603280486333	OV	BCCAGSC
TCGA-09-1666-01A-01R-1566-13	52.5692613693599	0.840929851721069	OV	BCCAGSC
TCGA-09-1667-01C-01R-1566-13	51.9649588402137	1.82211649946535	OV	BCCAGSC
TCGA-09-1668-01B-01R-1566-13	53.2448513897024	2.50036989743034	OV	BCCAGSC
TCGA-09-1669-01A-01R-1566-13	52.5932408740294	2.2284938725036	OV	BCCAGSC
TCGA-09-1670-01A-01R-1566-13	55.6570440370266	0.750131934023292	OV	BCCAGSC
TCGA-09-1673-01A-01R-1566-13	51.4428308518425	4.14419434155789	OV	BCCAGSC
TCGA-09-2044-01B-01R-1568-13	54.1974045923792	-2.81954936179586	OV	BCCAGSC
TCGA-09-2045-01A-01R-1568-13	48.4108568769797	2.87847725535563	OV	BCCAGSC
TCGA-09-2048-01A-01R-1568-13	53.0818590396963	-4.48467392072657	OV	BCCAGSC
TCGA-09-2051-01A-01R-1568-13	56.4481050622965	-0.664180810637784	OV	BCCAGSC
TCGA-09-2053-01C-01R-1568-13	52.429348001556	2.7612501171334	OV	BCCAGSC
TCGA-09-2054-01A-01R-1568-13	21.4711764269752	-10.4082620445511	OV	BCCAGSC
