feature_1	feature_2	project
TCGA-CU-A0YR	9.04634986993647	-10.2884827430514	BLCA
TCGA-CU-A3KJ	13.3846960941109	-10.1703426743108	BLCA
TCGA-CU-A3QU	5.27352435889545	-16.0343069311962	BLCA
TCGA-CU-A3YL	-0.943325227032275	-14.1178805896719	BLCA
TCGA-CU-A5W6	3.77317907025855	-11.8825541088245	BLCA
TCGA-CU-A72E	1.2246783813988	-13.9286016269784	BLCA
TCGA-DK-A1A3	2.82396927483865	-10.7206137372926	BLCA
TCGA-DK-A1A5	0.173955705110034	-11.6061612078655	BLCA
TCGA-DK-A1A6	0.0801700397059793	-13.5938249213189	BLCA
TCGA-DK-A1A7	4.92222168401797	-15.2016110831981	BLCA
TCGA-DK-A1AA	-1.0553292988168	-16.7600273790137	BLCA
TCGA-DK-A1AB	20.357575640327	3.22970393328816	BLCA
TCGA-DK-A1AC	4.24238111405599	-15.0984011522204	BLCA
TCGA-DK-A1AD	1.60433797788294	-14.5792173905651	BLCA
TCGA-DK-A1AE	13.9874603848994	-9.97145595967847	BLCA
TCGA-DK-A1AF	-2.6867601612146	15.2210016342333	BLCA
TCGA-DK-A1AG	-0.9847831239005	-16.1411689446784	BLCA
TCGA-DK-A2HX	-0.145646133998436	-9.61826098986603	BLCA
TCGA-DK-A2I1	0.338643672851871	-12.0345110935689	BLCA
TCGA-DK-A2I2	7.29752040923502	-9.10280534455846	BLCA
TCGA-DK-A2I4	1.56497983077592	-6.81400146590411	BLCA
TCGA-DK-A2I6	5.96327599362913	-14.6258421672468	BLCA
TCGA-DK-A3IK	0.185098083401952	-11.8763667214573	BLCA
TCGA-DK-A3IL	0.0371688198499647	-10.9607725777413	BLCA
TCGA-DK-A3IM	26.3760557005403	-9.53014370329715	BLCA
TCGA-DK-A3IN	6.37569924504126	-12.3310382915282	BLCA
TCGA-DK-A3IQ	0.858863157529314	-9.35707988533243	BLCA
TCGA-DK-A3IS	-1.06122557999097	-16.7941204013314	BLCA
TCGA-DK-A3IT	0.662007655554952	-10.2760682767703	BLCA
TCGA-DK-A3IU	1.74654608008987	-6.78907212556085	BLCA
TCGA-DK-A3IV	-0.630143017948025	-10.6064217393906	BLCA
TCGA-DK-A3WW	10.4564854888082	-12.4101022644251	BLCA
TCGA-DK-A3WX	10.2178132538918	-10.8349896697292	BLCA
TCGA-DK-A3WY	-3.97014201947058	10.1335857693805	BLCA
TCGA-DK-A3X1	2.81152022999713	-14.356358219654	BLCA
TCGA-DK-A3X2	3.58665136305624	-16.8007807212633	BLCA
TCGA-DK-A6AV	3.25446076513655	-12.5243026787079	BLCA
TCGA-DK-A6AW	0.349425572099189	-14.5717548199534	BLCA
TCGA-DK-A6B0	-2.38814407851748	-15.4750659330339	BLCA
TCGA-DK-A6B1	-0.672556169829504	-13.3175315862808	BLCA
TCGA-DK-A6B2	3.256863996855	-13.8182504004911	BLCA
TCGA-DK-A6B5	1.40796841619311	-12.8480433144363	BLCA
TCGA-DK-A6B6	3.59446463018703	-12.4081163702298	BLCA
TCGA-DK-AA6L	1.75037967354751	-11.7085230664263	BLCA
TCGA-DK-AA6M	3.86440745322894	-9.04266995154069	BLCA
TCGA-DK-AA6P	0.931411946915248	-15.0952057620817	BLCA
TCGA-DK-AA6Q	11.7202092886865	-11.8538938718776	BLCA
TCGA-DK-AA6R	7.72940139900335	-11.1048922817861	BLCA
TCGA-DK-AA6S	2.73561565895221	-9.74920118902081	BLCA
TCGA-DK-AA6T	-4.41157883852339	2.26976183338951	BLCA
TCGA-DK-AA6U	2.86945633407796	-16.2732353865989	BLCA
TCGA-DK-AA6W	10.5625326960088	-7.00186948744109	BLCA
TCGA-DK-AA6X	4.85595869885404	-3.487652387655	BLCA
TCGA-DK-AA71	2.28445400819186	-11.0995460642611	BLCA
