aliquot	feature_1	feature_2	project
TCGA-2G-AAFY-01A-11D-A42Z-05	7.01655915988073	24.788371972194	TGCT
TCGA-2G-AAFZ-01A-11D-A42Z-05	5.05274840986443	27.5545486616745	TGCT
TCGA-2G-AAG0-01A-11D-A42Z-05	7.33781734199963	25.2152210130308	TGCT
TCGA-2G-AAG3-01A-11D-A42Z-05	17.4297388778508	12.1779276159895	TGCT
TCGA-2G-AAG5-01A-11D-A42Z-05	5.73081820644963	26.6604742517033	TGCT
TCGA-2G-AAG6-01A-11D-A42Z-05	5.05155568599585	26.9674245967451	TGCT
TCGA-2G-AAG7-01A-11D-A42Z-05	7.81572910859953	26.3965013101809	TGCT
TCGA-2G-AAG8-01A-31D-A42Z-05	9.31076463633465	24.9842612186043	TGCT
TCGA-2G-AAG9-01A-11D-A42Z-05	22.0618089630905	11.6054364888609	TGCT
TCGA-2G-AAGA-01A-11D-A42Z-05	8.40926893134687	25.7242135025951	TGCT
TCGA-2G-AAGC-01A-21D-A42Z-05	7.23520681240107	26.1975744249407	TGCT
TCGA-2G-AAGE-01A-21D-A42Z-05	8.3982518196869	25.7169137504732	TGCT
TCGA-2G-AAGF-01A-31D-A42Z-05	7.87355549350865	26.2237801866734	TGCT
TCGA-2G-AAGG-01A-11D-A42Z-05	6.35999128336207	26.829392291089	TGCT
TCGA-2G-AAGI-01A-11D-A42Z-05	5.88332408319215	26.7165261631081	TGCT
TCGA-2G-AAGJ-01A-11D-A42Z-05	7.55592000954393	25.1891260318133	TGCT
TCGA-2G-AAGK-01A-11D-A42Z-05	7.44557209479813	25.8364370383337	TGCT
TCGA-2G-AAGM-01A-11D-A42Z-05	5.8379224498188	27.8508480698207	TGCT
TCGA-2G-AAGN-01A-11D-A42Z-05	9.31910107087287	24.9748467928721	TGCT
TCGA-2G-AAGO-01A-11D-A42Z-05	8.78919446024153	25.4023013442961	TGCT
TCGA-2G-AAGP-01A-11D-A42Z-05	6.40332530186572	24.4616720962401	TGCT
TCGA-2G-AAGS-01A-11D-A42Z-05	6.67610302597541	26.6089308574234	TGCT
TCGA-2G-AAGT-01A-11D-A42Z-05	3.86694445951618	5.73935044685779	TGCT
TCGA-2G-AAGV-01A-11D-A42Z-05	5.17781357750198	26.6914895096323	TGCT
TCGA-2G-AAGW-01A-11D-A42Z-05	8.34093049810774	26.4066145717445	TGCT
TCGA-2G-AAGX-01A-11D-A42Z-05	5.25081138779539	26.9849631532734	TGCT
TCGA-2G-AAGY-01A-11D-A42Z-05	5.66284197220768	27.3736486137214	TGCT
TCGA-2G-AAGZ-01A-11D-A42Z-05	6.6058902460852	24.5963739905743	TGCT
TCGA-2G-AAH0-01A-11D-A42Z-05	21.4492458317083	11.8767014652211	TGCT
TCGA-2G-AAH2-01A-11D-A42Z-05	6.59102144629036	26.7870169079418	TGCT
TCGA-2G-AAH3-01A-11D-A42Z-05	22.0569935170969	11.253774551116	TGCT
TCGA-2G-AAH4-01A-12D-A42Z-05	5.92243171633116	27.4127155245238	TGCT
TCGA-2G-AAH8-01A-11D-A42Z-05	23.9938435812477	10.8162560218316	TGCT
TCGA-2G-AAHA-01A-11D-A42Z-05	21.6300834081381	11.8270402173045	TGCT
TCGA-2G-AAHC-01A-11D-A42Z-05	19.0187194179161	13.8409316125923	TGCT
TCGA-2G-AAHG-01A-11D-A42Z-05	23.4204232621796	10.9595829977379	TGCT
TCGA-2G-AAHL-01A-11D-A42Z-05	23.1297754209899	11.1041503209897	TGCT
TCGA-2G-AAHN-01A-11D-A42Z-05	20.2426238187024	12.8030034079756	TGCT
TCGA-2G-AAHP-01A-12D-A42Z-05	23.7916445704974	10.8076765626362	TGCT
TCGA-2G-AAHT-01A-11D-A42Z-05	22.065568163413	11.6002609631008	TGCT
TCGA-2G-AAKD-01A-31D-A42Z-05	7.8798394416835	25.7355846803235	TGCT
TCGA-2G-AAKG-01A-11D-A42Z-05	7.34687701454754	25.9999831780781	TGCT
TCGA-2G-AAKH-01A-11D-A42Z-05	9.40843960157741	24.9006730677504	TGCT
TCGA-2G-AAKL-01A-11D-A42Z-05	8.32797937425041	25.5973902639843	TGCT
TCGA-2G-AAKM-01A-11D-A42Z-05	8.64030293679084	25.5084905277554	TGCT
TCGA-2G-AAKO-01A-11D-A42Z-05	18.8992593549925	14.010663020674	TGCT
TCGA-2G-AAL5-01A-11D-A42Z-05	5.92989649295586	27.6913189598116	TGCT
TCGA-2G-AAL7-01A-11D-A42Z-05	8.84754199799908	25.3381644014377	TGCT
TCGA-2G-AALF-01A-11D-A42Z-05	3.85527519854332	5.72601259922916	TGCT
TCGA-2G-AALG-01A-11D-A42Z-05	6.87170498484061	27.2569001332248	TGCT
TCGA-2G-AALN-01A-11D-A42Z-05	6.4231163273374	26.5864406359038	TGCT
TCGA-2G-AALO-01A-12D-A42Z-05	7.14991191808371	27.5011198185299	TGCT
TCGA-2G-AALP-01A-12D-A42Z-05	8.38828335326541	25.833045250092	TGCT
TCGA-2G-AALQ-01A-12D-A42Z-05	5.50144914029651	27.9618623592411	TGCT
TCGA-2G-AALR-01A-21D-A42Z-05	5.82015268241942	28.21372111227	TGCT
TCGA-2G-AALS-01A-12D-A42Z-05	6.36114543436022	24.2760608933548	TGCT
TCGA-2G-AALT-01A-11D-A42Z-05	5.98598521929646	26.6474515433613	TGCT
TCGA-2G-AALW-01A-11D-A42Z-05	6.10379128829085	27.0910548875912	TGCT
TCGA-2G-AALX-01A-11D-A42Z-05	5.41292987611599	27.1388946448715	TGCT
TCGA-2G-AALY-01A-11D-A42Z-05	6.24961482292046	26.5160719785202	TGCT
TCGA-2G-AALZ-01A-11D-A42Z-05	5.27531405633643	26.6880293108516	TGCT
TCGA-2G-AAM2-01A-11D-A436-05	8.54066260747969	27.1906286319153	TGCT
TCGA-2G-AAM3-01A-11D-A436-05	5.45194759981587	26.8443280498941	TGCT
TCGA-2G-AAM4-01A-11D-A436-05	8.53804082799612	27.2203485757997	TGCT
TCGA-2H-A9GF-01A-11D-A37D-05	-28.2217382620263	6.20501310714164	ESCA
TCGA-2H-A9GG-01A-11D-A37D-05	-22.6724706240682	7.92440326661796	ESCA
TCGA-2H-A9GH-01A-11D-A37D-05	-28.3462283651369	6.48659847393432	ESCA
TCGA-2H-A9GI-01A-11D-A37D-05	-29.0030035458796	3.9678895510899	ESCA
TCGA-2H-A9GJ-01A-11D-A37D-05	-24.7935968419687	13.8956575067943	ESCA
TCGA-2H-A9GK-01A-11D-A37D-05	-26.1486620849551	2.6778280229224	ESCA
TCGA-2H-A9GL-01A-12D-A37D-05	-29.7640131810964	3.99453846258487	ESCA
TCGA-2H-A9GM-01A-11D-A37D-05	-27.6193197511855	8.57193330146178	ESCA
TCGA-2H-A9GN-01A-11D-A37D-05	-23.6046768862545	8.02611458011638	ESCA
TCGA-2H-A9GO-01A-11D-A37D-05	-22.4289672097163	12.1629475623586	ESCA
TCGA-2H-A9GQ-01A-11D-A37D-05	-21.6234765890242	14.224336316944	ESCA
TCGA-2H-A9GR-01A-12D-A37D-05	-27.8268844411708	2.32266676129257	ESCA
