feature_1	feature_2	feature_3	project
TCGA-BT-A3PK	3.00382544668602	-9.32723873703014	2.06959060862143	BLCA
TCGA-BT-A42C	-21.1504523875893	2.23962411010073	-6.89122333765204	BLCA
TCGA-BT-A42E	-16.4603962913781	-8.40897579244183	-4.38839387377422	BLCA
TCGA-BT-A42F	-16.7227859620425	-9.44346619110842	-1.24242683753932	BLCA
TCGA-C4-A0EZ	-23.6141113285963	16.1038395381254	6.11549806918073	BLCA
TCGA-C4-A0F0	-15.2859009581047	-7.13801279933931	-1.72005773448622	BLCA
TCGA-C4-A0F1	-12.276859786544	-9.90007686931387	-3.82585359059307	BLCA
TCGA-C4-A0F6	-24.4327242688393	1.24680300479378	-3.77278042884457	BLCA
TCGA-C4-A0F7	-23.1933865328792	-22.2088756903202	3.85250182151524	BLCA
TCGA-CF-A1HR	-18.7848303781039	1.02014830326682	-3.22683366064913	BLCA
TCGA-CF-A1HS	-16.893654324598	-9.79638299262495	1.85046236724475	BLCA
TCGA-CF-A27C	-24.2826494802998	1.77322678560955	-8.04204124891967	BLCA
TCGA-CF-A3MF	-25.819964460427	1.03278023160158	-8.40514533874377	BLCA
TCGA-CF-A3MG	-25.3363505113946	1.57298658330163	-5.8573597236181	BLCA
TCGA-CF-A3MH	-24.7979039355769	1.70886817482838	-8.23365824236439	BLCA
TCGA-CF-A3MI	-25.5798794300973	0.9756022147366	-8.06399045973005	BLCA
TCGA-CF-A47S	-23.6539640280707	4.47854644510729	-9.28670881988632	BLCA
TCGA-CF-A47T	-25.0653079606518	0.780356931165365	-7.5249365768966	BLCA
TCGA-CF-A47V	-22.6971502957599	3.80381557411064	-8.03500918216835	BLCA
TCGA-CF-A47W	-23.8936161272634	4.56355992506774	-9.03298690071459	BLCA
TCGA-CF-A47X	-23.6544412669469	1.38327430285777	-9.03541649459834	BLCA
TCGA-CF-A47Y	-23.8446902577597	4.5370732619075	-9.05897216936992	BLCA
TCGA-CF-A5U8	-24.9426176496996	1.91206487734092	-7.97453035252841	BLCA
TCGA-CF-A5UA	-18.6920263026674	4.12761869202506	-3.72622968359207	BLCA
TCGA-CF-A7I0	-24.8794612305919	0.448498090065966	-6.44329371656837	BLCA
TCGA-CF-A8HX	-25.2665424619453	0.5154995463549	-7.66210557835847	BLCA
TCGA-CF-A8HY	-24.5596303569561	3.40341538564445	-7.09276084531342	BLCA
TCGA-CF-A9FF	-24.4114562989639	1.61210822427746	-5.62896010899439	BLCA
TCGA-CF-A9FH	-24.2492455438638	2.77634277237029	-6.48479576309399	BLCA
TCGA-CF-A9FL	-24.7022451095916	0.730568239447519	-6.27766498251482	BLCA
TCGA-CF-A9FM	-23.8795329851337	4.29898549577709	-8.49130105939395	BLCA
TCGA-CU-A0YN	-15.3920429329677	-5.24170761299874	-3.96196496202711	BLCA
TCGA-CU-A0YO	-15.8759561232091	2.45052190979859	-5.08526235992024	BLCA
TCGA-CU-A0YR	-16.7702133099153	-9.30225395661732	2.38963135610043	BLCA
TCGA-CU-A3KJ	-11.7938454409336	-10.3793344627344	-5.84726381182595	BLCA
TCGA-CU-A3QU	-22.0103475457442	-4.15200541959408	-4.50211929692021	BLCA
TCGA-CU-A3YL	-21.6896823607797	3.07186307823625	-7.72812769683057	BLCA
TCGA-CU-A5W6	-19.0453421743211	-0.536288521033027	-3.99881448758312	BLCA
TCGA-CU-A72E	-20.6235189897298	-0.340074841413893	-8.25246559415065	BLCA
TCGA-DK-A1A3	-18.502597794459	0.886740743990182	-3.21861143979516	BLCA
TCGA-DK-A1A5	-18.5975761824475	1.90146295400313	-7.05221833952518	BLCA
TCGA-DK-A1A6	-20.9347950824805	1.96493359710872	-7.13518316947198	BLCA
TCGA-DK-A1A7	-19.9494142793041	-2.88091623512586	-7.00813881688574	BLCA
TCGA-DK-A1AA	-23.9787968616016	1.59587476400287	-8.6137531943354	BLCA
TCGA-DK-A1AB	2.84113984423372	-7.92590277783427	-0.684264011798459	BLCA
TCGA-DK-A1AC	-20.9625519469545	-2.34197660079856	-5.42160796440454	BLCA
TCGA-DK-A1AD	-21.3409399090649	-0.602668960223447	-7.81585249838711	BLCA
TCGA-DK-A1AE	-10.9268794515293	-10.9605451126233	-4.83262648750742	BLCA
TCGA-DK-A1AF	5.74460142545529	11.411709634162	-0.108674775040622	BLCA
TCGA-DK-A1AG	-24.0400202812108	2.79015230864727	-7.6181496374167	BLCA
TCGA-DK-A2HX	-16.0081365932795	2.67951511098628	-6.59288045543305	BLCA
TCGA-DK-A2I1	-18.6021252293076	0.591339942466197	-7.52929565073133	BLCA
TCGA-DK-A2I2	-14.6876620193511	-5.0356444487413	-1.81376693182202	BLCA
TCGA-DK-A2I4	-12.9299795200606	1.77216335032427	-5.58877614095686	BLCA
TCGA-DK-A2I6	-19.0878359107873	-2.57889814155272	-6.21069301387172	BLCA
TCGA-DK-A3IK	-18.5101191435537	0.959172712001679	-7.48185945942934	BLCA
TCGA-DK-A3IL	-18.1500702402311	2.63738179222138	-6.65118167006036	BLCA
TCGA-DK-A3IM	-8.33704724723196	-20.3476197141613	-4.79653655607661	BLCA
TCGA-DK-A3IN	-17.2840133901992	-3.52728828826874	-4.26282740046106	BLCA
TCGA-DK-A3IQ	-16.3922140748046	2.6268124110522	-5.11245339692941	BLCA
TCGA-DK-A3IS	-23.7439058303825	1.28600024325316	-8.7687787210505	BLCA
TCGA-DK-A3IT	-17.1459393448695	2.15033623659678	-5.7527094815291	BLCA
TCGA-DK-A3IU	-12.8337673204624	1.49883298674621	-5.33334550149091	BLCA
TCGA-DK-A3IV	-16.9289936804808	2.2430129678112	-7.63243747881687	BLCA
TCGA-DK-A3WW	-16.8065944085086	-9.54390338606056	-1.18682464593718	BLCA
TCGA-DK-A3WX	-15.8486745670212	-7.35593035004776	1.42480552205555	BLCA
TCGA-DK-A3WY	2.5435820295115	8.39264039584663	-1.59591201137531	BLCA
TCGA-DK-A3X1	-20.1735977134713	-1.80497047535918	-6.69080828677998	BLCA
TCGA-DK-A3X2	-23.5432919064603	-2.56007768252052	-5.16481166164373	BLCA
TCGA-DK-A6AV	-20.6881046483959	0.431110651995504	-2.36317113485489	BLCA
TCGA-DK-A6AW	-22.3013551769679	0.921260916265559	-8.05817813402617	BLCA
TCGA-DK-A6B0	-23.8649287724182	4.48171387250114	-8.80627236300579	BLCA
TCGA-DK-A6B1	-20.5875490500071	3.44577273747387	-7.03375341705619	BLCA
TCGA-DK-A6B2	-20.6408094563927	-1.08634374684898	-5.05990019731961	BLCA
TCGA-DK-A6B5	-18.5902615229143	-1.23979546670259	-8.471906519448	BLCA
TCGA-DK-A6B6	-21.211921090933	-1.51528894524835	-2.09414826108501	BLCA
TCGA-DK-AA6L	-19.1645828965327	1.6756107456219	-4.27910148311564	BLCA
TCGA-DK-AA6M	-17.6835875002998	0.425933459361801	0.186792083321064	BLCA
TCGA-DK-AA6P	-22.703273714139	1.96885968703565	-4.58363713641983	BLCA
TCGA-DK-AA6Q	-10.0309961317064	-9.09068574422118	5.29282441227202	BLCA
TCGA-DK-AA6R	-16.3108489184492	-6.00251144358915	-1.21484388819074	BLCA
TCGA-DK-AA6S	-17.4953726988479	1.53623336546255	-2.57420494397571	BLCA
TCGA-DK-AA6T	19.5845093384135	-6.59023075186499	16.7957266287669	BLCA
TCGA-DK-AA6U	-23.6273876164688	-1.31495804614856	-5.69040978167817	BLCA
TCGA-DK-AA6W	-6.84831829205881	-5.17530172745598	-4.34832827156863	BLCA
TCGA-DK-AA6X	-7.31657412848518	5.68033193917316	9.32049054154555	BLCA
TCGA-DK-AA71	-19.4740175570339	3.60764902400549	-3.34154580556359	BLCA
TCGA-DK-AA74	-14.7541066822197	0.411823155967588	0.388225432705563	BLCA
TCGA-DK-AA75	-23.8130126132264	0.52181477598685	-3.03596985107442	BLCA
TCGA-DK-AA76	-22.9826747759469	1.5657540842811	-5.22567081408461	BLCA
TCGA-DK-AA77	-24.5304062202223	0.474630362035353	-5.95077921086312	BLCA
TCGA-E5-A2PC	-20.5720707809375	-0.63517769223764	-8.71609352248169	BLCA
TCGA-E5-A4TZ	-22.3605880578029	-0.945966547515101	-7.06667821966573	BLCA
TCGA-E5-A4U1	-25.609568883424	1.25012749471367	-5.34250442713769	BLCA
TCGA-E7-A3X6	-19.9331631589889	0.179946077979004	-7.08933983352356	BLCA
TCGA-E7-A3Y1	-25.1607435529129	1.34677451931597	-7.39474660271454	BLCA
TCGA-E7-A4IJ	-21.839036449043	1.07601616224087	-4.8328861288264	BLCA
TCGA-E7-A4XJ	-22.3110688078786	1.78488890156234	-6.60409976554947	BLCA
TCGA-E7-A519	-24.0735166080865	5.03489989784249	-9.3432467362126	BLCA
TCGA-E7-A541	-17.3051190137407	-0.842033077691756	-1.72493033132348	BLCA
TCGA-E7-A5KE	-23.4011429494302	0.596520648334408	-5.98330689935547	BLCA
TCGA-E7-A5KF	-24.2061414795483	3.0914565077308	-7.7654144019283	BLCA
TCGA-E7-A677	-21.3150842657997	3.18061617685337	-8.13479975158236	BLCA
TCGA-E7-A678	-25.177101087626	2.17570646687091	-7.00215637565066	BLCA
TCGA-E7-A6MD	-18.9613840334854	1.03465017218352	-6.53752569721569	BLCA
TCGA-E7-A6ME	-21.8055696600269	-0.401848796760187	-3.29460982667379	BLCA
TCGA-E7-A6MF	18.9418587675118	-20.0828028339649	-3.76899652020308	BLCA
TCGA-E7-A7DU	-25.4438221134046	1.5166987686994	-5.45781744666535	BLCA
TCGA-E7-A7DV	-16.376656127477	-3.65111059144743	-4.02953942024082	BLCA
TCGA-E7-A7PW	-22.0752275730714	-0.456573011192955	-2.8411030568135	BLCA
